gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	117	4.84188741721854	0.907383714419694
?|100134869	67	2.09849435382685	0.393784428306322
?|10357	463	36.3993710691824	6.82018143592153
?|10431	5418	242.194096601073	45.4014005274138
?|136542	0	0	0
?|155060	412	7.03170227429359	1.33006192349462
?|26823	7	0.643382352941177	0.120551104341581
?|280660	0	0	0
?|317712	0	0	0
?|340602	2	0.0515729757607014	0.00966327278594562
?|388795	4	0.0441807624337289	0.00946078562582608
?|390284	14	2.11480362537764	0.396252572578972
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	14	0.285016286644951	0.0534037465487133
?|57714	18863	196.589598997494	36.9086938110219
?|645851	80	4.6189376443418	0.865454315563444
?|652919	181	2.7218045112782	0.509986850177848
?|653553	183	23.989501312336	4.49985134586166
?|728045	0	0	0
?|728603	0	0	0
?|728788	14	0.864276568501921	0.167938030119897
?|729884	87	2.03651685393258	0.381583912939964
?|8225	2164	74.4755341144039	13.9721068079727
?|90288	39	0.896726602120793	0.168452363150298
A1BG|1	121	2.33896307934014	0.44524497206712
A1CF|29974	0	0	0
A2BP1|54715	1	0.00224215246636771	0.00233396685749235
A2LD1|87769	1211	47.5748031496063	8.93331144235815
A2ML1|144568	544	7.44435261707989	1.40399101198072
A2M|2	112742	1254.20387269085	235.083078359642
A4GALT|53947	524	12.3433962264151	2.31562099725025
A4GNT|51146	21	0.562394127611519	0.11108944228428
AAA1|404744	1	0.060313630880579	0.0113010168467723
AAAS|8086	1224	34.0623608017817	6.38479765609828
AACSL|729522	1	0.0177430801987225	0.00332453618380918
AACS|65985	4658	74.6322539275409	13.991238581439
AADACL2|344752	0	0	0
AADACL3|126767	5	0.0634517766497462	0.011889013916211
AADACL4|343066	0	0	0
AADAC|13	16	0.463768115942029	0.0868966304090368
AADAT|51166	289	6.81925436526664	1.27772955033816
AAGAB|79719	7125	124.338337988827	23.306867539304
AAK1|22848	7787	135.180869565217	25.3749022873189
AAMP|14	9543	265.582962138085	49.7795130981584
AANAT|15	0	0	0
AARS2|57505	2383	24.7007528230866	4.66859847091524
AARSD1|80755	1872	51.9705555555556	9.74328468461325
AARS|16	28434	460.217109526896	86.3205284168868
AASDHPPT|60496	6646	121.260679079956	22.7321418590234
AASDH|132949	1741	27.1075771749298	5.08594739749336
AASS|10157	1725	14.8103092783505	2.77675886878104
AATF|26574	5243	121.47358665431	22.761478577666
AATK|9625	522	6.2327028968159	1.17078750975307
ABAT|18	1141	10.964217006541	2.05646547213864
ABCA10|10349	58	1.2123745819398	0.227163667235162
ABCA11P|79963	465	12.2501319261214	2.29887729771928
ABCA12|26154	933	5.11907374890255	0.959268062692493
ABCA13|154664	335	3.70899001109878	0.696661907569674
ABCA17P|650655	50	1.42710120068611	0.267825699427509
ABCA1|19	8968	78.7601762114537	14.8047741531026
ABCA2|20	4194	25.709360814624	4.82047223644904
