gene	raw_counts	median_length_normalized	RPKM
?|100130426	0	0	0
?|100133144	125	5.13990066225166	1.09992034359273
?|100134869	61	1.91342534504391	0.406780076680859
?|10357	233	18.3176100628931	3.89418842250294
?|10431	2316	103.479427549195	22.0198779466118
?|136542	0	0	0
?|155060	819	13.9817367332874	2.99988529779229
?|26823	15	1.37867647058824	0.293096420969122
?|280660	0	0	0
?|317712	0	0	0
?|340602	0	0	0
?|388795	2	0.0252461499621308	0.00536714476166632
?|390284	2	0.302114803625378	0.0642273728125688
?|391343	0	0	0
?|391714	0	0	0
?|404770	0	0	0
?|441362	0	0	0
?|442388	0	0	0
?|553137	8	0.161237785016287	0.0346242026074272
?|57714	5045	52.5708020050125	11.2001847037223
?|645851	118	6.72055427251732	1.44837917281369
?|652919	148	2.22556390977444	0.47313842696874
?|653553	519	68.010498687664	14.4797324778194
?|728045	0	0	0
?|728603	11	0.294117647058824	0.0625272364734126
?|728788	23	1.42637644046095	0.313036484777264
?|729884	21	0.491573033707865	0.104504791296855
?|8225	1503	51.7181254307374	11.0105680160728
?|90288	172	3.95942830797603	0.842921343698748
A1BG|1	381	7.41830322073841	1.5906870017215
A1CF|29974	0	0	0
A2BP1|54715	0	0	0
A2LD1|87769	344	13.5165354330709	2.87920692044501
A2ML1|144568	94	1.26170798898072	0.275257641555133
A2M|2	107253	1193.09236590251	253.741314910326
A4GALT|53947	782	18.4254716981132	3.92092963055447
A4GNT|51146	0	0	0
AAA1|404744	1	0.060313630880579	0.0128222318461763
AAAS|8086	2316	64.4465478841871	13.7072514166548
AACSL|729522	2	0.0049680624556423	0.00754409524519527
AACS|65985	2199	35.2039115100994	7.49424713397109
AADACL2|344752	1	0.0358680057388809	0.00762527274066007
AADACL3|126767	4	0.050761421319797	0.0107915027416042
AADACL4|343066	0	0	0
AADAC|13	35	1.0104347826087	0.215673656241626
AADAT|51166	233	5.49787635677206	1.168807851209
AAGAB|79719	6940	121.092877094972	25.7575536282584
AAK1|22848	5718	99.2782608695652	21.1409479952506
AAMP|14	6835	190.140311804009	40.4529634856803
AANAT|15	1	0.0521920668058455	0.0110956473908979
AARS2|57505	1410	14.5616896695943	3.13420714819678
AARSD1|80755	2099	58.25	12.3953298837821
AARS|16	6398	103.49805573558	22.0377103119481
AASDHPPT|60496	3082	56.2449799196787	11.9607595026943
AASDH|132949	1775	27.6379794200187	5.88325338504903
AASS|10157	2590	22.2384879725086	4.73036807890783
AATF|26574	4277	99.0963855421687	21.0671586503492
AATK|9625	145	1.73306200622456	0.368996020845013
ABAT|18	5760	55.3772604848018	11.7788899489738
ABCA10|10349	361	7.54598662207358	1.60422094580825
ABCA11P|79963	753	19.868073878628	4.22380556251269
ABCA12|26154	706	3.86973222124671	0.82358636101174
ABCA13|154664	164	1.80199778024417	0.386961010627912
ABCA17P|650655	37	1.04059462550029	0.224869249524165
ABCA1|19	6509	57.1790308370044	12.1917644008679
ABCA2|20	5118	31.3590970433076	6.67432798013218
ABCA3|21	4265	41.6104605776737	8.84765277225757
ABCA4|24	422	9.80867942137191	2.09318896155045
ABCA5|23461	2302	18.9653922214898	4.03253274909448
ABCA6|23460	1246	36.39449003517	7.76349310070238
ABCA7|10347	909	23.2863753213368	4.96778090089277
ABCA8|10351	1432	19.215149073328	4.08853893287337
ABCA9|10350	1060	8.74636723910172	1.86053632967453
ABCB10|23456	2947	38.0683760683761	8.11331784532892
ABCB11|8647	4	0.0609013398294763	0.0129471744220221
ABCB1|5243	801	17.3776041666667	3.69545737438567
ABCB4|5244	145	1.8508726899384	0.395609953559964
ABCB5|340273	250	5.52558967512239	1.18264688478862
ABCB6|10058	1847	30.8493150684932	6.55961476120508
ABCB7|22	2171	47.0954861111111	10.0160274154698
ABCB8|11194	1888	21.4042215161144	4.55486650442726
ABCB9|23457	627	9.79450757575758	2.10378097717836
ABCC10|89845	1232	12.2219570405728	2.60455537131892
ABCC11|85320	2519	38.8306600863664	8.25911118908374
ABCC12|94160	38	0.379446640316206	0.0840286972369972
ABCC13|150000	543	9.69294159799355	2.06803625899703
ABCC1|4363	5197	40.7847385774847	8.67360467136054
ABCC2|1244	45	0.43377549000198	0.0947007244152853
ABCC3|8714	1941	45.6104815864023	9.74131832820206
ABCC4|10257	793	15.0875190258752	3.20749495775523
ABCC5|10057	5212	76.3721407624633	16.2468130806166
ABCC6P1|653190	31	0.557553956834532	0.118531847559311
ABCC6P2|730013	23	1.62889518413598	0.346291068854169
ABCC6|368	646	15.9970238095238	3.4061215820983
ABCC8|6833	921	12.9187129551228	2.76316382010788
ABCC9|10060	5661	66.1556802244039	14.0659973270028
ABCD1|215	803	19.3144927536232	4.12347490385775
ABCD2|225	142	1.32016476315297	0.282607655582883
ABCD3|5825	14019	194.780094523214	41.4280750015377
ABCD4|5826	2301	47.1220811142974	10.0199832410098
ABCE1|6059	7196	85.7856461611826	18.2381542495601
ABCF1|23	6212	120.08275328693	25.5341310152292
ABCF2|10061	4323	74.21912624699	15.8073241681031
ABCF3|55324	3997	78.2212216131558	16.6353296442127
ABCG1|9619	4278	71.514390896921	15.2187275761894
ABCG2|9429	465	10.2208994708995	2.17935539824659
ABCG4|64137	20	0.263561643835616	0.0582445490437268
ABCG5|64240	9	0.16008537886873	0.0340329675575671
ABCG8|64241	4	0.0749063670411985	0.0159245396261875
ABHD10|55347	2746	53.5581576893052	11.3930384584381
ABHD11|83451	1969	71.6219956300073	15.2438032518175
ABHD12B|145447	44	1.41753926701571	0.306088827762517
ABHD12|26090	4058	110.03960933261	23.4047961766405
ABHD13|84945	2625	24.6536869826938	5.24882981118517
ABHD14A|25864	704	30.9229406554473	6.62821936327548
ABHD14B|84836	5069	123.252554744526	26.2197544945177
ABHD15|116236	1652	29.8703232836905	6.37855034187911
ABHD1|84696	244	8.38200692041523	1.79489949406031
ABHD2|11057	30620	174.706540349275	37.1509276040066
ABHD3|171586	3359	95.9451114922813	20.4144813284236
ABHD4|63874	3464	100.85032032615	21.4449848657328
ABHD5|51099	2970	27.6027932960894	5.87895748518175
ABHD6|57406	622	12.8765022793203	2.7400041378776
ABHD8|79575	650	15.2819299905393	3.26833473524697
ABI1|10006	7411	105.995135908441	22.5396822362685
ABI2|10152	7815	64.4610561056106	13.7080132040845
ABI3BP|25890	3283	44.7853631895139	9.52951282036491
ABI3|51225	612	14.4212264150943	3.06855362391219
ABL1|25	8398	74.5083451704545	15.8500771348779
ABL2|27	9390	39.5863843428379	8.42013055361131
ABLIM1|3983	14676	333.723839854413	70.973818390467
ABLIM2|84448	385	5.64697236919459	1.20294168935475
ABLIM3|22885	2329	29.2528273435537	6.22176645813477
ABO|28	83	2.74108322324967	0.582734020237683
ABP1|26	131	2.58752515090543	0.560354751011227
ABRA|137735	0	0	0
ABR|29	7538	89.5213980028531	19.0504404306275
ABT1|29777	1562	34.5414634146341	7.36296335838137
ABTB1|80325	1616	40.6008044243338	8.63624052487476
ABTB2|25841	453	5.40732706676308	1.16057423013196
ACAA1|30	3807	112.289085545723	23.8743375653262
ACAA2|10449	5628	157.650784753363	33.5333849598107
ACACA|31	7156	74.0840927920464	15.7551022606951
ACACB|32	4113	37.972104193608	8.07679087651484
ACAD10|80724	2460	52.798796216681	11.2419992662
ACAD11|84129	1551	40.1905503634476	8.55999815210005
ACAD8|27034	1758	48.9309192200557	10.4105236169605
ACAD9|28976	2984	64.8031290743155	13.7847964007965
ACADL|33	40	1.07389162561576	0.232723157098635
ACADM|34	5179	114.959591474245	24.4453174104292
ACADSB|36	26270	224.251067463706	47.6926362709843
ACADS|35	1029	35.1126279863481	7.46613616129288
ACADVL|37	13008	288.218722271517	61.3443787257523
ACAN|176	722	4.16767371601208	0.891772368666821
ACAP1|9744	452	8.90051525961157	1.90431741998297
ACAP2|23527	8037	88.7835622507754	18.9256397698846
ACAP3|116983	1491	21.2395892755277	4.52047308297658
ACAT1|38	3540	82.312238250349	17.5099538900417
ACAT2|39	1239	38.3285891089109	8.14982166979882
ACBD3|64746	11744	163.524434515498	34.8602002441884
ACBD4|79777	897	22.4613065326633	4.79134587428678
ACBD5|91452	5687	75.8756006406834	16.1374017485666
ACBD6|84320	3137	96.6462585034014	20.6216140624033
ACBD7|414149	288	6.54109589041096	1.39786917704944
ACCN1|40	7	0.0974903474903475	0.02394060855964
ACCN2|41	141	1.83464154892726	0.392144913204526
ACCN3|9311	132	3.23846908734053	0.688474576282325
ACCN4|55515	17	0.29178028827425	0.0703949019899347
ACCN5|51802	0	0	0
ACCSL|390110	1	0.0108459869848156	0.00576444154039053
ACCS|84680	868	21.173828125	4.50513623731287
ACD|65057	761	18.1866028708134	3.87040602036621
ACE2|59272	21	0.301032110091743	0.0639972001749091
ACER1|125981	4	0.183823529411765	0.0390795227958829
ACER2|340485	1341	23.5073632538569	4.99801335864091
ACER3|55331	1165	13.3131428571429	2.83051867052785
ACE|1636	1632	34.1173512154233	7.2705601371264
ACHE|43	36	0.791891891891892	0.172372381629408
ACIN1|22985	12431	195.232536186281	41.5786447520984
ACLY|47	17469	200.471641791045	42.6381193965988
ACMSD|130013	6	0.232198142414861	0.0493636077421678
ACN9|57001	589	14.147001934236	3.02749138688724
ACO1|48	3838	53.4838350055741	11.370267756255
ACO2|50	5395	97.0187050359712	20.6283650833059
ACOT11|26027	372	6.7357324609233	1.43737638479775
ACOT12|134526	0	0	0
